,Pairs,Quotes
0,EURUSD,1.157
1,USDJPY,153.378
2,GBPUSD,1.3161
3,USDCHF,0.8045
4,AUDUSD,0.6496
5,USDCAD,1.4047
6,NZDUSD,0.5628
7,EURGBP,0.8788
8,EURAUD,1.7805
9,GBPJPY,201.904
10,GBPCAD,1.8487
11,AUDNZD,1.1537
12,EURCHF,0.9307
13,CHFJPY,190.58
14,EURBRL,6.1738
15,EURMXN,21.3461
16,GBPBRL,7.0239
17,GBPMXN,24.2847
18,USDSGD,1.3009
19,USDHKD,7.7768
20,EURTRY,48.8053
21,GBPTHB,42.596
22,AUDSGD,0.8426
23,USDZAR,17.2897
24,USDILS,3.2402
25,USDBRL,5.3321
26,USDMXN,18.4425
27,EURJPY,177.476
28,AUDJPY,99.623
29,AUDCHF,0.5212
30,NZDJPY,86.314
31,AUDBRL,3.4639
32,AUDMXN,11.9821
33,CHFBRL,6.6298
34,CHFMXN,22.9223
35,GBPAUD,2.0266
36,GBPNZD,2.3386
